username,password,roles,email,fullname,location,description,home_page,wysiwyg_editor,ext_editor,listed,groups
AIA,password,,,Anguilla,Anguilla,660,,,,,
ATG,password,,,Antigua and Barbuda,Antigua and Barbuda,28,,,,,
ABW,password,,,Aruba,Aruba,533,,,,,
BHS,password,,,Bahamas,Bahamas,44,,,,,
BRB,password,,,Barbados,Barbados,52,,,,,
BLZ,password,,,Belize,Belize,84,,,,,
BMU,password,,,Bermuda,Bermuda,60,,,,,
BOL,password,,,Bolivia (Plurinational State of),Bolivia (Plurinational State of),68,,,,,
BES,password,,,Bonaire, Saint Eustatius and Saba,Bonaire, Saint Eustatius and Saba,535,,,,,
VGB,password,,,British Virgin Islands,British Virgin Islands,92,,,,,
CYM,password,,,Cayman Islands,Cayman Islands,136,,,,,
COL,password,,,Colombia,Colombia,170,,,,,
CRI,password,,,Costa Rica,Costa Rica,188,,,,,
CUB,password,,,Cuba,Cuba,192,,,,,
CUW,password,,,Curaçao,Curaçao,531,,,,,
DMA,password,,,Dominica,Dominica,212,,,,,
DOM,password,,,Dominican Republic,Dominican Republic,214,,,,,
FRA,password,,,France,France,250,,,,,
GUF,password,,,French Guiana,French Guiana,254,,,,,
GRD,password,,,Grenada,Grenada,308,,,,,
GLP,password,,,Guadeloupe,Guadeloupe,312,,,,,
GUY,password,,,Guyana,Guyana,328,,,,,
HTI,password,,,Haiti,Haiti,332,,,,,
HND,password,,,Honduras,Honduras,340,,,,,
JAM,password,,,Jamaica,Jamaica,388,,,,,
MTQ,password,,,Martinique,Martinique,474,,,,,
MEX,password,,,Mexico,Mexico,484,,,,,
MSR,password,,,Montserrat,Montserrat,500,,,,,
NLD,password,,,Netherlands,Netherlands,528,,,,,
PAN,password,,,Panama,Panama,591,,,,,
PRI,password,,,Puerto Rico,Puerto Rico,630,,,,,
RWA,password,,,Rwanda,Rwanda,646,,,,,
BLM,password,,,Saint-Barthélemy,Saint-Barthélemy,652,,,,,
KNA,password,,,Saint Kitts and Nevis,Saint Kitts and Nevis,659,,,,,
LCA,password,,,Saint Lucia,Saint Lucia,662,,,,,
MAF,password,,,Saint-Martin (French part),Saint-Martin (French part),663,,,,,
VCT,password,,,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,670,,,,,
SXM,password,,,Sint Maarten (Dutch part),Sint Maarten (Dutch part),534,,,,,
SUR,password,,,Suriname,Suriname,740,,,,,
TTO,password,,,Trinidad and Tobago,Trinidad and Tobago,780,,,,,
TCA,password,,,Turks and Caicos Islands,Turks and Caicos Islands,796,,,,,
GBR,password,,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,826,,,,,
USA,password,,,United States of America,United States of America,840,,,,,
VIR,password,,,United States Virgin Islands,United States Virgin Islands,850,,,,,
VEN,password,,,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),862,,,,,
